0 , 0 , 0
0 , 0 , 0
0 , 0 , 0
-3512,-2168,-17184
-1560,-3652,-15856
-724,-2680,-16944
316,-2304,-15852
20,-3256,-15628
24,-3196,-15800
876,-3756,-15020
1632,-3960,-13980
772,-3140,-15112
1172,-2472,-16080
2860,-2320,-17520
1892,-1656,-18924
2228,-92,-22228
-2496,1552,-23660
628,-2200,-17868
-1096,-892,-17796
-3376,-536,-17424
-2912,1344,-17532
-680,1760,-15896
616,1676,-14356
-16,1416,-14928
-616,1396,-15160
692,1760,-14508
1776,2304,-14532
2188,1124,-15260
1908,892,-18036
2680,-188,-18924
4212,-2928,-19304
4012,-1276,-22376
-1304,-252,-22172
-2920,-624,-20300
-3128,-32,-20196
-536,-1464,-16552
-100,-3784,-17468
816,-3648,-13848
932,-1844,-12532
348,-3532,-12492
1728,-3656,-13544
2064,-3504,-14544
2852,-2664,-18200
2404,-1140,-19288
3768,-232,-20560
-388,520,-25680
-696,-2584,-20204
-316,-168,-18156
-2360,1560,-19704
-2576,56,-18548
-228,1788,-16056
620,1500,-13608
-40,1484,-13156
-372,1736,-13560
1084,2072,-13788
2536,1568,-13668
2532,1684,-16384
2756,56,-20032
3052,-2796,-19580
2776,-3312,-24136
-1476,-164,-21512
-1944,-336,-18964
-2636,348,-21600
-840,-2284,-16608
-148,-4228,-16976
656,-3568,-12932
-8,-1496,-12236
144,-2932,-12616
1472,-2404,-13912
2048,-2820,-16376
2896,-1980,-17440
2236,-900,-19440
2420,904,-22640
-3364,2264,-24700
584,-5356,-17040
-1200,-900,-19264
-3072,300,-19220
-1664,1840,-18124
144,3288,-14896
92,1204,-12596
-704,1576,-12892
-584,2072,-13644
1880,1280,-12404
2652,2516,-16112
2896,1236,-18156
1872,-2508,-19888
2868,-3056,-21880
-176,-784,-23380
-1744,896,-18872
-3696,1012,-20140
-1272,-552,-18656
-464,-3820,-18728
340,-4772,-14284
580,-2108,-11856
12,-1596,-11864
420,-2856,-13052
2124,-2904,-13400
3668,-3580,-15312
2064,-1728,-20208
1840,196,-21328
1716,964,-23884
-64,-1512,-20380
408,-3396,-16896
-2392,68,-19128
-3280,1356,-19196
-1180,1852,-18300
708,2552,-15172
